id,sid,floor,x,y
299,11406,1,14.5,6.5
300,11407,1,14.5,7.5
301,11408,1,14.5,8.5
302,11409,1,14.5,9.5
303,11410,1,14.5,10.5
304,11411,1,14.5,11.5
305,11412,1,14.5,12.5
306,11413,1,14.5,13.5
307,11414,1,14.5,14.5
308,11415,1,14.5,15.5
309,11416,1,14.5,16.5
310,11417,1,14.5,17.5
311,11418,1,14.5,18.5
312,11419,1,14.5,19.5
313,11420,1,14.5,20.5
314,11421,1,14.5,21.5
315,11422,1,14.5,22.5
316,11423,1,14.5,23.5
317,11424,1,14.5,24.5
318,11425,1,14.5,25.5
319,11426,1,14.5,26.5
320,11427,1,14.5,27.5
321,11428,1,14.5,28.5
322,11502,1,15.5,2.5
323,11504,1,15.5,4.5
324,11505,1,15.5,5.5
325,11507,1,15.5,7.5
326,11515,1,15.5,15.5
327,11517,1,15.5,17.5
328,11519,1,15.5,19.5
329,11520,1,15.5,20.5
330,11521,1,15.5,21.5
331,11522,1,15.5,22.5
332,11523,1,15.5,23.5
333,11524,1,15.5,24.5
334,11525,1,15.5,25.5
335,11526,1,15.5,26.5
336,11527,1,15.5,27.5
337,11528,1,15.5,28.5
338,20110,2,17.5,10.5
339,20111,2,17.5,11.5
340,20202,2,18.5,2.5
341,20203,2,18.5,3.5
342,20204,2,18.5,4.5
343,20205,2,18.5,5.5
344,20206,2,18.5,6.5
345,20207,2,18.5,7.5
346,20208,2,18.5,8.5
347,20209,2,18.5,9.5
348,20210,2,18.5,10.5
349,20211,2,18.5,11.5
350,20302,2,19.5,2.5
351,20303,2,19.5,3.5
352,20304,2,19.5,4.5
353,20305,2,19.5,5.5
354,20306,2,19.5,6.5
355,20307,2,19.5,7.5
356,20308,2,19.5,8.5
357,20309,2,19.5,9.5
358,20310,2,19.5,10.5
359,20311,2,19.5,11.5
360,20402,2,20.5,2.5
361,20403,2,20.5,3.5
362,20404,2,20.5,4.5
363,20405,2,20.5,5.5
364,20406,2,20.5,6.5
365,20407,2,20.5,7.5
366,20408,2,20.5,8.5
367,20409,2,20.5,9.5
368,20410,2,20.5,10.5
369,20411,2,20.5,11.5
370,20502,2,21.5,2.5
371,20503,2,21.5,3.5
372,20504,2,21.5,4.5
373,20505,2,21.5,5.5
374,20506,2,21.5,6.5
375,20507,2,21.5,7.5
376,20508,2,21.5,8.5
377,20509,2,21.5,9.5
378,20510,2,21.5,10.5
379,20511,2,21.5,11.5
380,20602,2,22.5,2.5
381,20603,2,22.5,3.5
382,20604,2,22.5,4.5
383,20605,2,22.5,5.5
384,20606,2,22.5,6.5
385,20607,2,22.5,7.5
386,20608,2,22.5,8.5
387,20609,2,22.5,9.5
388,20610,2,22.5,10.5
389,20611,2,22.5,11.5
390,20702,2,23.5,2.5
391,20703,2,23.5,3.5
392,20704,2,23.5,4.5
393,20705,2,23.5,5.5
394,20706,2,23.5,6.5
395,20707,2,23.5,7.5
396,20708,2,23.5,8.5
397,20709,2,23.5,9.5
398,20710,2,23.5,10.5
399,20711,2,23.5,11.5
400,20802,2,24.5,2.5
401,20803,2,24.5,3.5
402,20804,2,24.5,4.5
403,20805,2,24.5,5.5
404,20806,2,24.5,6.5
405,20807,2,24.5,7.5
406,20808,2,24.5,8.5
407,20809,2,24.5,9.5
408,20902,2,25.5,2.5
409,20903,2,25.5,3.5
410,20904,2,25.5,4.5
411,20905,2,25.5,5.5
412,20906,2,25.5,6.5
413,20907,2,25.5,7.5
414,20908,2,25.5,8.5
415,20909,2,25.5,9.5
416,21001,2,26.5,1.5
417,21002,2,26.5,2.5
418,21003,2,26.5,3.5
419,21004,2,26.5,4.5
420,21005,2,26.5,5.5
421,21006,2,26.5,6.5
422,21007,2,26.5,7.5
423,21008,2,26.5,8.5
424,21009,2,26.5,9.5
425,21101,2,27.5,1.5
426,21102,2,27.5,2.5
427,21103,2,27.5,3.5
428,21104,2,27.5,4.5
429,21105,2,27.5,5.5
430,21106,2,27.5,6.5
431,21107,2,27.5,7.5
432,21108,2,27.5,8.5
433,21109,2,27.5,9.5
434,21206,2,28.5,6.5
435,21207,2,28.5,7.5
436,21208,2,28.5,8.5
437,21209,2,28.5,9.5
438,21210,2,28.5,10.5
439,21211,2,28.5,11.5
440,21300,2,29.5,0.5
441,21301,2,29.5,1.5
442,21302,2,29.5,2.5
443,21303,2,29.5,3.5
444,21304,2,29.5,4.5
445,21305,2,29.5,5.5
446,21306,2,29.5,6.5
447,21307,2,29.5,7.5
448,21308,2,29.5,8.5
449,21309,2,29.5,9.5
450,21310,2,29.5,10.5
451,21311,2,29.5,11.5
452,21400,2,30.5,0.5
453,21401,2,30.5,1.5
454,21402,2,30.5,2.5
455,21403,2,30.5,3.5
456,21404,2,30.5,4.5
457,21405,2,30.5,5.5
458,21406,2,30.5,6.5
459,21407,2,30.5,7.5
460,21408,2,30.5,8.5
461,21409,2,30.5,9.5
462,21410,2,30.5,10.5
463,21411,2,30.5,11.5
464,21500,2,31.5,0.5
465,21501,2,31.5,1.5
466,21502,2,31.5,2.5
467,21503,2,31.5,3.5
468,21504,2,31.5,4.5
469,21505,2,31.5,5.5
